NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,NUM_BO,ANO_BO,DATA_REGISTRO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESC_PERIODO,DESCR_SUBTIPOLOCAL,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRCUNSCRIÇÃO,NOME_DEPARTAMENTO_CIRCUNSCRIÇÃO,NOME_SECCIONAL_CIRCUNSCRIÇÃO,NOME_MUNICIPIO_CIRCUNSCRIÇÃO,RUBRICA,DESCR_CONDUTA,NATUREZA_APURADA,MES_ESTATISTICA,ANO_ESTATISTICA,CMD,BTL,CIA,COD IBGE
DECAP,DEL.SEC.1º CENTRO,01ª DDM CENTRO,S.PAULO,AP5096,2023,2023-01-14 00:00:00,2023-01-12 00:00:00,21:00:19,NULL,Praça,SE,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Art. 213 - Estupro,NULL,ESTUPRO,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,01ª DDM CENTRO,S.PAULO,BD2233,2023,2023-01-25 00:00:00,2023-01-24 00:00:00,20:40:00,NULL,Apartamento,LUZ,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Art. 213 - Estupro,NULL,ESTUPRO,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA0063,2023,2022-12-31 00:00:00,2022-12-30 00:00:00,NULL,A noite,Via Pública,SÉ,PRAÇA DA SÉ,0,NULL,NULL,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA0404,2023,2022-12-31 00:00:00,2022-12-30 00:00:00,NULL,Pela manhã,Metroviário e Ferroviário Metropolitano,SE,RUA VINTE E CINCO DE MARCO,1215,-23.5389936352078,-46.6320931720259,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA0895,2023,2022-12-31 00:00:00,2022-12-30 00:00:00,NULL,A tarde,Via Pública,CENTRO HISTÓRICO DE SÃO PAULO,PRAÇA CÍVICA ULYSSES GUIMARÃES,9300,-23.5450085,-46.6265617,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 1,S.PAULO,AA0935,2023,2023-01-01 00:00:00,2022-12-31 00:00:00,21:00:00,NULL,Via Pública,SE,AVENIDA DO ESTADO,4021,-23.5527275974676,-46.6266231578752,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Interior de Veículo,FURTO - OUTROS,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA1443,2023,2022-12-31 00:00:00,2022-12-30 00:00:00,NULL,De madrugada,Via Pública,SE,VIADUTO BRIGADEIRO LUIS ANTONIO,683,-23.5514602989999,-46.637219016,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA1458,2023,2022-12-31 00:00:00,2022-12-31 00:00:00,NULL,A tarde,Via Pública,SE,RUA CONSELHEIRO FURTADO,445,-23.5546182638507,-46.6331310211641,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 1,S.PAULO,AA1464,2023,2023-01-01 00:00:00,2023-01-01 00:00:00,07:45:00,NULL,Via Pública,BRÁS,AVENIDA DO ESTADO,4127,-23.5519317,-46.6256609,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Interior de Veículo,FURTO - OUTROS,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA1802,2023,2022-12-31 00:00:00,2022-12-31 00:00:00,NULL,Pela manhã,Via Pública,CANTINHO DO CÉU,RUA QUINZE DE NOVEMBRO,86,NULL,NULL,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2023,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
