NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,NUM_BO,ANO_BO,DATA_REGISTRO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESC_PERIODO,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRCUNSCRICAO,NOME_DEPARTAMENTO_CIRCUNSCRICAO,NOME_SECCIONAL_CIRCUNSCRICAO,NOME_MUNICIPIO_CIRCUNSCRICAO,RUBRICA,DESCR_CONDUTA,NATUREZA_APURADA,MES_ESTATISTICA,ANO_ESTATISTICA,CMD,BTL,CIA,COD IBGE
DECAP,DEL.SEC.1º CENTRO,01ª DDM CENTRO,S.PAULO,AA2328,2025,2025-01-01 00:00:00,2024-12-31 00:00:00,18:00:00,NULL,Comércio e Serviços,Mercado,LIBERDADE,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Estupro de vulneravel (art.217-A),NULL,ESTUPRO DE VULNERÁVEL,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,01ª DDM CENTRO,S.PAULO,AM7136,2025,2025-01-10 00:00:00,2025-01-10 00:00:00,00:00:00,NULL,Via Pública,Via Pública,SÉ,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Estupro de vulneravel (art.217-A),NULL,ESTUPRO DE VULNERÁVEL,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,01ª DDM CENTRO,S.PAULO,AQ9561,2025,2025-01-14 00:00:00,2025-01-14 00:00:00,NULL,Em hora incerta,Residência,Casa,SÉ,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Estupro de vulneravel (art.217-A),NULL,ESTUPRO DE VULNERÁVEL,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.6º SANTO AMARO,06ª DDM SANTO AMARO,S.PAULO,BH3385,2025,2025-01-27 00:00:00,2025-01-25 00:00:00,18:00:14,NULL,Hospedagem,Motel,CANINDÉ,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Estupro de vulneravel (art.217-A),NULL,ESTUPRO DE VULNERÁVEL,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,12º D.P. PARI,S.PAULO,AC0747,2025,2025-01-03 00:00:00,2025-01-03 00:00:00,01:31:53,NULL,Via Pública,Via Pública,LIBERDADE,PRAÇA DA LIBERDADE,133,-23.5552093,-46.6352112,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,01º D.P. SE,S.PAULO,AC2037,2025,2025-01-03 00:00:00,2025-01-02 00:00:00,21:30:00,NULL,Via Pública,Via Pública,LIBERDADE,RUA CONSELHEIRO FURTADO,1,-23.563815092,-46.6324839179999,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Interior de Veículo,FURTO - OUTROS,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,DEL.PROTECAO IDOSO- 1ª SEC.,S.PAULO,AC2403,2025,2025-01-03 00:00:00,2024-12-19 00:00:00,12:30:00,NULL,Condomínio Comercial,Lojas,CENTRO HISTÓRICO DE SÃO PAULO,RUA VINTE E CINCO DE MARÇO,966,-23.5436238,-46.6325199,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,08º D.P. BRAS,S.PAULO,AD2571,2025,2025-01-03 00:00:00,2025-01-03 00:00:00,01:37:00,NULL,Residência,Casa,CAMBUCI,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Residência,FURTO - OUTROS,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.8º SAO MATEUS,66º D.P. JDIM ARICANDUVA,S.PAULO,AD5625,2025,2025-01-04 00:00:00,2025-01-04 00:00:00,09:08:42,NULL,Via Pública,Via Pública,SÉ,RUA SÃO PAULO,1000,-23.5570618,-46.6291032,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Interior de Veículo,FURTO - OUTROS,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,08º D.P. BRAS,S.PAULO,AD6049,2025,2025-01-04 00:00:00,2025-01-04 00:00:00,11:15:37,NULL,Via Pública,Via Pública,LIBERDADE,RUA CONSELHEIRO FURTADO,500,-23.5572409,-46.632991,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2025,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
